Columna1,Columna2,Columna3,Columna4,Columna5,Columna6,Columna7
Jan 04 2021,376461,376999,366271,370065.00,370065,5006680000
Jan 05 2021,369802,373783,369507,372686.00,372686,4582620000
Jan 06 2021,371220,378304,370534,374814.00,374814,6049970000
Jan 07 2021,376471,381155,376471,380379.00,380379,5080870000
Jan 08 2021,381505,382669,378360,382468.00,382468,4764180000
Jan 11 2021,380314,381786,378902,379961.00,379961,4450500000
Jan 12 2021,380162,381078,377651,380119.00,380119,4977210000
Jan 13 2021,380223,382096,379150,380984.00,380984,4590420000
Jan 14 2021,381498,382360,379286,379554.00,379554,5180140000
Jan 15 2021,378873,378873,374962,376825.00,376825,5353060000
Jan 19 2021,378188,380453,378037,379891.00,379891,4982940000
Jan 20 2021,381622,385975,381622,385185.00,385185,4551790000
Jan 21 2021,385746,386145,384505,385307.00,385307,4484460000
Jan 22 2021,384424,385231,383041,384147.00,384147,5080430000
Jan 25 2021,385168,385923,379716,385536.00,385536,6955860000
Jan 26 2021,386296,387090,384778,384962.00,384962,6029090000
Jan 27 2021,383683,383683,373248,375077.00,375077,9878040000
Jan 28 2021,375575,383050,375575,378738.00,378738,6937960000
Jan 29 2021,377805,377805,369412,371424.00,371424,6612570000
Feb 01 2021,373117,378432,372562,377386.00,377386,5392870000
Feb 02 2021,379184,384309,379184,382631.00,382631,5495370000
Feb 03 2021,384027,384751,381668,383017.00,383017,4846900000
Feb 04 2021,383666,387242,383666,387174.00,387174,4856670000
Feb 05 2021,387830,389456,387493,388683.00,388683,4838580000
Feb 08 2021,389259,391577,389259,391559.00,391559,4635030000
Feb 09 2021,391049,391835,390264,391123.00,391123,4554610000
Feb 10 2021,392078,393150,388494,390988.00,390988,4815380000
Feb 11 2021,391640,392599,389039,391638.00,391638,4570080000
Feb 12 2021,391165,393723,390578,393483.00,393483,4119260000
Feb 16 2021,393961,395043,392385,393259.00,393259,5037360000
Feb 17 2021,391850,393361,390043,393133.00,393133,4718280000
Feb 18 2021,391586,392198,388503,391397.00,391397,4773430000
Feb 19 2021,392116,393041,390307,390671.00,390671,4823940000
Feb 22 2021,388555,390292,387471,38765.00,387650,5870190000
Feb 23 2021,385707,389598,380559,388137.00,388137,6280650000
Feb 24 2021,387371,392865,385960,392543.00,392543,5942350000
Feb 25 2021,391580,392502,381404,382934.00,382934,6513060000
Feb 26 2021,383966,386108,378954,381115.00,381115,6512950000
Mar 01 2021,384251,391450,384251,390182.00,390182,5071540000
Mar 02 2021,390364,390641,386857,387029.00,387029,5493690000
Mar 03 2021,386399,387447,381886,381972.00,381972,6150790000
Mar 04 2021,381853,384367,372334,376847.00,376847,7142240000
Mar 05 2021,379358,385169,373019,384194.00,384194,6842570000
Mar 08 2021,384439,388106,381925,382135.00,382135,5852240000
Mar 09 2021,385193,390376,385193,387544.00,387544,5496340000
Mar 10 2021,389199,391735,388573,389881.00,389881,5827250000
Mar 11 2021,391554,396027,391554,393934.00,393934,5300010000
Mar 12 2021,392452,394499,391521,394334.00,394334,4469240000
Mar 15 2021,394296,397008,392354,396894.00,396894,4882190000
Mar 16 2021,397359,398104,395344,396271.00,396271,4604870000
Mar 17 2021,394957,398387,393574,397412.00,397412,4541620000
Mar 18 2021,395350,396962,391086,391546.00,391546,4043170000
Mar 19 2021,391314,393012,388675,39131.00,391310,7725050000
Mar 22 2021,391648,395531,391416,394059.00,394059,4311380000
Mar 23 2021,393760,394913,390157,391052.00,391052,4645340000
Mar 24 2021,391993,394208,388907,388914.00,388914,4766990000
Mar 25 2021,387934,391954,385350,390952.00,390952,4940800000
Mar 26 2021,391712,397819,391712,397454.00,397454,5467850000
Mar 29 2021,396931,398183,394325,397109.00,397109,4619840000
Mar 30 2021,396334,396801,394435,395855.00,395855,4103570000
Mar 31 2021,396725,399441,396698,397289.00,397289,4564980000
Apr 01 2021,399278,402063,399278,401987.00,401987,4151240000
Apr 05 2021,403444,408342,403444,407791.00,407791,3999760000
Apr 06 2021,407557,408623,406814,407394.00,407394,4027880000
Apr 07 2021,407429,408313,406831,407995.00,407995,4112640000
